,objectid,acc_id,longitude,latitude,crash_date,crash_time,severity
52817,24346357,9580643,115.902432,-32.064002,1/08/2017,710.0,Fatal
52820,24346360,9580702,114.99808,-29.847252,2/08/2017,1325.0,Fatal
53084,24346624,9581142,122.25496799999999,-17.89866,4/08/2017,2040.0,Fatal
53087,24346627,9581170,115.77815600000001,-32.375953,4/08/2017,1134.0,Fatal
53116,24346656,9581372,115.81721399999999,-32.068597,8/08/2017,1255.0,Fatal
55366,24348906,9613771,115.75378899999998,-32.018901,8/09/2017,1607.0,Fatal
55538,24349078,9641594,116.17158700000002,-32.273097,31/10/2017,1642.0,Fatal
56188,24349728,9615212,115.610303,-33.47718,22/09/2017,1529.0,Fatal
57993,24351533,9627841,116.023068,-31.894209999999998,2/10/2017,848.0,Fatal
58886,24352426,9629717,115.75676399999999,-32.395563,6/10/2017,1945.0,Fatal
58887,24352427,9629724,115.728898,-31.719424,8/10/2017,1010.0,Fatal
58888,24352428,9629730,115.872961,-32.129806,6/10/2017,2212.0,Fatal
58896,24352436,9629777,116.21099,-31.012725,9/10/2017,1155.0,Fatal
58899,24352439,9629794,115.951603,-34.013739,10/10/2017,1700.0,Fatal
58900,24352440,9629798,116.14299799999999,-33.369816,9/10/2017,1252.0,Fatal
58903,24352443,9629816,114.61653100000001,-28.77845,12/10/2017,1136.0,Fatal
59542,24353082,9640421,121.80736599999999,-32.150502,24/10/2017,800.0,Fatal
59581,24353121,9640705,119.010129,-23.102635999999997,26/10/2017,2347.0,Fatal
59871,24353411,9641274,118.15425900000001,-33.541426,28/10/2017,35.0,Fatal
61386,24354926,9653760,117.91833999999999,-34.951454999999996,5/11/2017,819.0,Fatal
61387,24354927,9653765,116.457295,-31.51858,7/11/2017,315.0,Fatal
61390,24354930,9653789,115.97033700000001,-33.762029,6/11/2017,1309.0,Fatal
61429,24354969,9654117,127.700515,-18.683061,15/11/2017,730.0,Fatal
61967,24355507,9654838,127.68618400000001,-18.239373,18/11/2017,2349.0,Fatal
61968,24355508,9654844,116.212507,-29.399883000000003,18/11/2017,137.0,Fatal
61969,24355509,9654849,115.852189,-32.046246999999994,16/11/2017,15.0,Fatal
61970,24355510,9654855,115.848781,-31.953574,18/11/2017,531.0,Fatal
62265,24355805,9655379,115.148348,-34.077609,25/11/2017,610.0,Fatal
