crash_id,road_user,age_group
20205088,Passenger,40_to_64
20205002,Pedal cyclist,0_to_16
20205024,Driver,17_to_25
20205022,Driver,40_to_64
20205042,Passenger,0_to_16
20205008,Driver,17_to_25
20205032,Driver,17_to_25
20205044,Driver,17_to_25
20205134,Motorcycle rider,26_to_39
20205020,Pedestrian,26_to_39
20205129,Driver,26_to_39
20205003,Driver,17_to_25
20205115,Motorcycle rider,65_to_74
20205042,Passenger,0_to_16
20205086,Driver,75_or_older
20205051,Pedestrian,26_to_39
20205077,Pedal cyclist,0_to_16
20205076,Passenger,17_to_25
20205085,Passenger,26_to_39
20205076,Passenger,0_to_16
20205085,Driver,26_to_39
20205016,Pedal cyclist,40_to_64
20205116,Driver,26_to_39
20205015,Driver,75_or_older
20205080,Motorcycle rider,26_to_39
20205082,Motorcycle rider,40_to_64
20205078,Motorcycle rider,26_to_39
20205006,Driver,40_to_64
20205127,Driver,40_to_64
20205102,Driver,40_to_64
20205048,Motorcycle rider,40_to_64
20205102,Driver,17_to_25
20205123,Driver,17_to_25
20205056,Motorcycle rider,40_to_64
20205114,Driver,26_to_39
20205047,Driver,26_to_39
20205033,Motorcycle rider,40_to_64
20205012,Driver,75_or_older
20205028,Driver,75_or_older
20205028,Passenger,75_or_older
20205109,Driver,17_to_25
20205069,Driver,17_to_25
20205062,Passenger,40_to_64
20205038,Motorcycle rider,17_to_25
20205113,Driver,26_to_39
20205054,Driver,40_to_64
20205046,Driver,65_to_74
20205107,Driver,65_to_74
20205105,Driver,17_to_25
20205105,Driver,17_to_25
20205104,Driver,26_to_39
20205067,Passenger,75_or_older
20205091,Passenger,17_to_25
20205087,Passenger,40_to_64
20205079,Driver,40_to_64
20205050,Pedal cyclist,26_to_39
20205018,Motorcycle rider,26_to_39
20205061,Motorcycle rider,26_to_39
20205039,Passenger,75_or_older
20205090,Driver,65_to_74
20205057,Driver,40_to_64
20205108,Driver,40_to_64
20205043,Passenger,75_or_older
20205043,Passenger,75_or_older
20205089,Driver,40_to_64
20205031,Passenger,75_or_older
20205073,Motorcycle rider,40_to_64
20205063,Driver,26_to_39
20205132,Motorcycle rider,26_to_39
20205019,Driver,17_to_25
20205072,Driver,26_to_39
20205004,Driver,65_to_74
20205110,Passenger,17_to_25
20205089,Passenger,26_to_39
20205031,Driver,40_to_64
20195142,Passenger,26_to_39
20195146,Driver,26_to_39
20195136,Motorcycle rider,75_or_older
20195008,Passenger,0_to_16
20195137,Passenger,0_to_16
20195081,Driver,40_to_64
20195043,Driver,65_to_74
20195079,Driver,65_to_74
20195050,Driver,40_to_64
20195107,Driver,40_to_64
20195075,Passenger,17_to_25
20195107,Passenger,75_or_older
20195064,Pedestrian,17_to_25
20195123,Pedestrian,40_to_64
20195039,Driver,26_to_39
20195090,Driver,17_to_25
20195001,Passenger,26_to_39
20195074,Motorcycle rider,40_to_64
20195049,Driver,17_to_25
20195101,Driver,26_to_39
20195110,Driver,75_or_older
20195007,Pedestrian,40_to_64
20195015,Pedestrian,65_to_74
20195012,Passenger,17_to_25
20195012,Passenger,0_to_16
20195040,Driver,40_to_64
20195053,Driver,40_to_64
20195145,Driver,17_to_25
20195144,Passenger,26_to_39
20195053,Passenger,26_to_39
20195019,Driver,40_to_64
20195059,Motorcycle rider,65_to_74
20195061,Driver,26_to_39
20195083,Driver,40_to_64
20195062,Driver,40_to_64
20195036,Driver,17_to_25
20195036,Passenger,17_to_25
20195034,Driver,65_to_74
20195106,Driver,65_to_74
20195025,Driver,65_to_74
20195096,Passenger,65_to_74
20195023,Driver,75_or_older
20195131,Driver,75_or_older
20195102,Pedestrian,0_to_16
20195051,Motorcycle rider,40_to_64
20195092,Passenger,17_to_25
20195119,Driver,26_to_39
20195072,Driver,26_to_39
20195067,Motorcycle rider,26_to_39
20195063,Passenger,26_to_39
20195063,Passenger,26_to_39
20195126,Passenger,0_to_16
20195027,Driver,17_to_25
20195035,Motorcycle rider,40_to_64
20195044,Passenger,75_or_older
20195085,Driver,40_to_64
20195018,Driver,40_to_64
